comparison,table,dataset_id,heldout_batch,metric,population,lhs_method,lhs_dimension,rhs_method,rhs_dimension,lhs_mean,lhs_sd,rhs_mean,rhs_sd,difference,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,valid_batch,status,reason
sclsc30_minus_sclsc16,E2,pancreas,inDrop2,NMI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.69829440955338806,0.01243034700808127,0.70468953723921524,0.0067483020489528161,-0.0063951276858271733,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,inDrop3,NMI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.68600748868486627,0.010882725076566081,0.68660643103523566,0.010170687809039047,-0.00059894235036939136,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,10X,PCR_batch,joint,sclsc_refonly,30,sclsc_refonly,16,0.68160125783444026,0.12501333980709176,0.68125910116030963,0.054055766427036946,0.00034215667413062256,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,Oetjen_A,PCR_batch,joint,sclsc_refonly,30,sclsc_refonly,16,0.66906031073117311,0.065317434842598152,0.7268560876780803,0.036890239329483668,-0.057795776946907185,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,Villani,PCR_batch,joint,sclsc_refonly,30,sclsc_refonly,16,0.72208824169347818,0.0269143375321934,0.73400945975491738,0.029791131311904695,-0.011921218061439198,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,3,PCR_batch,joint,sclsc_refonly,30,sclsc_refonly,16,0.73250371034962591,0.048014964413973613,0.69899301807458436,0.064596862823718432,0.033510692275041554,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,4,PCR_batch,joint,sclsc_refonly,30,sclsc_refonly,16,0.72053321529529657,0.030788644135986833,0.72629338157305123,0.025614715890386355,-0.0057601662777546636,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,B1,PCR_batch,joint,sclsc_refonly,30,sclsc_refonly,16,0.72333812654202378,0.053420722065044585,0.71674412351674444,0.059754176099091103,0.0065940030252793491,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,fluidigmc1,PCR_batch,joint,sclsc_refonly,30,sclsc_refonly,16,0.93337781287693655,0.011679912365734887,0.92976828844680171,0.012042372986936655,0.0036095244301348473,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,inDrop2,PCR_batch,joint,sclsc_refonly,30,sclsc_refonly,16,0.93155907878572963,0.0066065098875742745,0.93594877811965271,0.007425974577411224,-0.0043896993339230805,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,inDrop3,PCR_batch,joint,sclsc_refonly,30,sclsc_refonly,16,0.93734993632672681,0.0043078504377975007,0.93555005417654136,0.0057042159639380322,0.0017998821501854501,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,10X,balanced_accuracy,query,sclsc_refonly,30,sclsc_refonly,16,0.87048569749076576,0.024233263944393457,0.87591444605649293,0.0084260597175263505,-0.0054287485657271706,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,Oetjen_A,balanced_accuracy,query,sclsc_refonly,30,sclsc_refonly,16,0.88527120249023439,0.0087851264309145808,0.88014248614804313,0.0038590614397534927,0.0051287163421912529,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,Villani,balanced_accuracy,query,sclsc_refonly,30,sclsc_refonly,16,0.71636039603663026,0.03405414048713621,0.72254918921516498,0.041397500103575936,-0.0061887931785347128,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,3,balanced_accuracy,query,sclsc_refonly,30,sclsc_refonly,16,0.8669607511132934,0.014190763793509446,0.86333152319835127,0.016412400500891568,0.0036292279149421347,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,4,balanced_accuracy,query,sclsc_refonly,30,sclsc_refonly,16,0.82671534138318281,0.029384789360330111,0.85014338623481911,0.021246683728683734,-0.023428044851636298,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,B1,balanced_accuracy,query,sclsc_refonly,30,sclsc_refonly,16,0.86550872473706275,0.021119252596829514,0.86544704607579348,0.0070985588549546648,6.1678661269271018e-05,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,fluidigmc1,balanced_accuracy,query,sclsc_refonly,30,sclsc_refonly,16,0.83192354823881531,0.023009811551627048,0.84332091469232662,0.02206975204573753,-0.011397366453511304,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,inDrop2,balanced_accuracy,query,sclsc_refonly,30,sclsc_refonly,16,0.90050324543993443,0.015237567734690264,0.917754223820481,0.026985121765091085,-0.017250978380546567,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,inDrop3,balanced_accuracy,query,sclsc_refonly,30,sclsc_refonly,16,0.8457703564549639,0.052591743023587052,0.85471126089825589,0.048192274355168666,-0.008940904443291986,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,10X,batchASW,joint,sclsc_refonly,30,sclsc_refonly,16,0.77565838969430811,0.013087450769513051,0.77544125698283062,0.015263709364919014,0.0002171327114774968,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,Oetjen_A,batchASW,joint,sclsc_refonly,30,sclsc_refonly,16,0.74071542460827811,0.015717412206398666,0.72043081643499074,0.031933970646982161,0.020284608173287366,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,Villani,batchASW,joint,sclsc_refonly,30,sclsc_refonly,16,0.77676608343477693,0.012015445006206594,0.77030912038741117,0.010827076870630691,0.0064569630473657602,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,3,batchASW,joint,sclsc_refonly,30,sclsc_refonly,16,0.73258754314631003,0.014602422722913608,0.72863190233522279,0.010772965837151424,0.0039556408110872354,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,4,batchASW,joint,sclsc_refonly,30,sclsc_refonly,16,0.72044862916300212,0.0062132141495205573,0.71791099052657026,0.01230102407731215,0.0025376386364318604,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,B1,batchASW,joint,sclsc_refonly,30,sclsc_refonly,16,0.72007982810051563,0.0051843257418417305,0.70504472766603143,0.014261386180773321,0.015035100434484194,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,fluidigmc1,batchASW,joint,sclsc_refonly,30,sclsc_refonly,16,0.75136532805182887,0.0094186600049408712,0.75513462510535301,0.015274628241480327,-0.0037692970535241344,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,inDrop2,batchASW,joint,sclsc_refonly,30,sclsc_refonly,16,0.73872711529349178,0.01641447181104011,0.74237108023780651,0.012266380897504984,-0.0036439649443147371,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,inDrop3,batchASW,joint,sclsc_refonly,30,sclsc_refonly,16,0.72882212837505167,0.0068361557139445814,0.73224327563510094,0.00859146455148589,-0.0034211472600492732,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,10X,cLISI,joint,sclsc_refonly,30,sclsc_refonly,16,0.99999999999999978,0,0.99999999999999978,0,0,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,Oetjen_A,cLISI,joint,sclsc_refonly,30,sclsc_refonly,16,0.99999999999999978,0,0.99999999999999978,0,0,5,5,5,5,True,computed,
