comparison,table,metric,population,lhs_mean,rhs_mean,difference,n_datasets_expected,n_datasets_valid,dataset_coverage,included_datasets,valid_datasets,status,n_batches_total,n_batches_expected,n_batches_valid,batch_coverage,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,n_lhs_seeds_paired,n_rhs_seeds_paired,valid_batches,reason
sclsc30_minus_sclsc16,E2,graph_conn,joint,0.96490741766995736,0.96182594184314751,0.0030814758268099293,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,hvg_overlap,joint,NA,NA,NA,3,0,0,immune_cell_human|lung_atlas|pancreas,,all_na,9,9,0,0,45,45,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
sclsc30_minus_sclsc16,E2,iLISI,joint,2.2414427148284983,2.2909293021084998,-0.049486587280001305,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,isolated_label_F1,joint,0.69676594418243765,0.68723828686960642,0.0095276573128311292,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,isolated_label_silhouette,joint,0.50086272373381591,0.50086271980156505,3.9322508582628757e-09,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,kBET,joint,0.0040260405956618426,0.003924514461650922,0.00010152613401092035,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,8,0.88888888888888884,45,45,45,45,40,40,immune_cell_human/10X|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,"unpaired_na: rhs: noncomparable_implementation (computed: Computed by the locked scIB paper backend.; computed: Computed by the researcher-approved Python fallback after the locked legacy kBET worker failed.; HISTORICAL NON-EQUIVALENT FALLBACK: {""alpha"": 0.05, ""comparability_warning"": ""scib-metrics kbet_per_label is a Python approximation with an acceptance-rate statistic; it is not numerically equivalent to scIB 0.2.0 plus R kBET average.pval. The value is used directly with higher meaning better mixing."", ""diffusion_n_comps"": 100, ""fallback"": true, ""fallback_policy"": ""on_legacy_failure"", ""metric_backend"": ""scib_metrics_python_0_5_10"", ""n_jobs"": 1, ""n_neighbors"": 50, ""per_label"": [{""cluster"": ""CD10+ B cells"", ""kBET"": 0.5700483091787439}, {""cluster"": ""CD14+ Monocytes"", ""kBET"": 0.20922697114642802}, {""cluster"": ""CD16+ Monocytes"", ""kBET"": 0.33433734939759036}, {""cluster"": ""CD20+ B cells"", ""kBET"": 0.24155934563174383}, {""cluster"": ""CD4+ T cells"", ""kBET"": 0.07098653076083}, {""cluster"": ""CD8+ T cells"", ""kBET"": 0.3408463661453542}, {""cluster"": ""Erythrocytes"", ""kBET"": 0.5089940039973351}, {""cluster"": ""Erythroid progenitors"", ""kBET"": 0.08830022075055188}, {""cluster"": ""HSPCs"", ""kBET"": 0.5680851063829787}, {""cluster"": ""Megakaryocyte progenitors"", ""kBET"": 0.41044776119402987}, {""cluster"": ""Monocyte progenitors"", ""kBET"": 0.19617224880382775}, {""cluster"": ""Monocyte-derived dendritic cells"", ""kBET"": 0.019782393669634024}, {""cluster"": ""NK cells"", ""kBET"": 0.40962800875273525}, {""cluster"": ""NKT cells"", ""kBET"": 0.22511935365405802}, {""cluster"": ""Plasma cells"", ""kBET"": 0.5348837209302325}, {""cluster"": ""Plasmacytoid dendritic cells"", ""kBET"": 0.07339449541284404}], ""primary_backend"": ""paper_scib_0_2_0"", ""primary_error"": ""exited with code 1: ValueError: could not find 68 nearest neighbors in 16diffusion steps.\n Please increase max_iterations or reduce k.\n"", ""python_package"": {""name"": ""scib-metrics"", ""version"": ""0.5.10""}, ""random_state"": 0})"
sclsc30_minus_sclsc16,E2,labelASW,joint,0.94802487558788717,0.94960566494199961,-0.001580789354112408,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,macro_f1,query,0.81486391019656457,0.82063726580718799,-0.0057733556106235066,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,pseudotime_smoothness,joint,0.81813195948143502,0.81500169927176136,0.0031302602096738483,1,1,1,immune_cell_human,immune_cell_human,computed,9,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,unpaired_na: lhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune); rhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune)
sclsc30_minus_sclsc16,E2,pseudotime_smoothness,query,0.933506751733573,0.92995982584016124,0.0035469258934117676,1,1,1,immune_cell_human,immune_cell_human,computed,9,3,1,0.33333333333333331,15,15,5,5,5,5,immune_cell_human/Oetjen_A,unpaired_na: lhs: all_na (not_applicable: Original annotated-cell subset has fewer than 16 cells for fixed pseudotime k15); rhs: all_na (not_applicable: Original annotated-cell subset has fewer than 16 cells for fixed pseudotime k15); unpaired_na: lhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune); rhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune)
