comparison,table,metric,population,dataset_id,lhs_mean,rhs_mean,difference,status,n_batches_total,n_batches_expected,n_batches_valid,batch_coverage,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,n_lhs_seeds_paired,n_rhs_seeds_paired,valid_batches,reason
repeated_minus_none128,E3,pseudotime_smoothness,query,immune_cell_human,0.94900647431451435,0.95302777044297604,-0.0040212961284616933,computed,3,3,1,0.33333333333333331,15,15,5,5,5,5,immune_cell_human/Oetjen_A,unpaired_na: lhs: all_na (not_applicable: Original annotated-cell subset has fewer than 16 cells for fixed pseudotime k15); rhs: all_na (not_applicable: Original annotated-cell subset has fewer than 16 cells for fixed pseudotime k15)
repeated_minus_none128,E3,pseudotime_smoothness,query,lung_atlas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune); rhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune)
repeated_minus_none128,E3,pseudotime_smoothness,query,pancreas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune); rhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune)
repeated_minus_none128,E3,pseudotime_smoothness,reference,immune_cell_human,0.85176310769155494,0.85366006343761169,-0.0018969557460566389,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,pseudotime_smoothness,reference,lung_atlas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune); rhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune)
repeated_minus_none128,E3,pseudotime_smoothness,reference,pancreas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune); rhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune)
repeated_minus_none128,E3,trajectory,joint,immune_cell_human,0.62306401865090622,0.68519312805475152,-0.062129109403845272,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,trajectory,joint,lung_atlas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: The original AnnData has no obs['dpt_pseudotime'] column.); rhs: all_na (not_applicable: The original AnnData has no obs['dpt_pseudotime'] column.)
repeated_minus_none128,E3,trajectory,joint,pancreas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: The original AnnData has no obs['dpt_pseudotime'] column.); rhs: all_na (not_applicable: The original AnnData has no obs['dpt_pseudotime'] column.)
repeated_minus_none128,E3,trustworthiness,joint,immune_cell_human,0.91825133629530475,0.9386068766072414,-0.020355540311936499,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,trustworthiness,joint,lung_atlas,0.94677229193389467,0.9559870511033034,-0.0092147591694087625,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,trustworthiness,joint,pancreas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Protocol restricts cached-source trustworthiness to Immune and Lung); rhs: all_na (not_applicable: Protocol restricts cached-source trustworthiness to Immune and Lung)
repeated_minus_none128,E3,trustworthiness,query,immune_cell_human,0.94760155464416351,0.95044367124288665,-0.0028421165987230954,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,trustworthiness,query,lung_atlas,0.93348290722864891,0.94178598142698744,-0.0083030741983384591,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,trustworthiness,query,pancreas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Protocol restricts cached-source trustworthiness to Immune and Lung); rhs: all_na (not_applicable: Protocol restricts cached-source trustworthiness to Immune and Lung)
