comparison,table,dataset_id,heldout_batch,metric,population,lhs_method,lhs_dimension,rhs_method,rhs_dimension,lhs_mean,lhs_sd,rhs_mean,rhs_sd,difference,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,valid_batch,status,reason
repeated_minus_none128,E3,pancreas,inDrop3,PCR_batch,joint,solar_orthogonal,128,solar_none,128,0.92709686625486643,0.0014719896498767543,0.92779468791692365,0.0012962123439120214,-0.00069782166205722973,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,10X,balanced_accuracy,query,solar_orthogonal,128,solar_none,128,0.8935028273293989,0.0018930376493508758,0.89173242096020977,0.0055460047356278956,0.0017704063691891259,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Oetjen_A,balanced_accuracy,query,solar_orthogonal,128,solar_none,128,0.87621632878392286,0.0039606855108669098,0.87380887467350554,0.0035010657062751675,0.0024074541104173175,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Villani,balanced_accuracy,query,solar_orthogonal,128,solar_none,128,0.63670008164150116,0.011718793139299763,0.62117429685901526,0.017355068333191559,0.015525784782485896,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,3,balanced_accuracy,query,solar_orthogonal,128,solar_none,128,0.89333029762811855,0.0066991962548403608,0.88914032093814188,0.0067063446963762218,0.0041899766899766711,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,4,balanced_accuracy,query,solar_orthogonal,128,solar_none,128,0.84890312388774303,0.021408454516708416,0.85491982491665719,0.010749122485586751,-0.006016701028914162,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,B1,balanced_accuracy,query,solar_orthogonal,128,solar_none,128,0.88103963662810592,0.02068644200196821,0.87805453966470259,0.019073050148594513,0.002985096963403322,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,fluidigmc1,balanced_accuracy,query,solar_orthogonal,128,solar_none,128,0.84535409005706763,0.041144664441324849,0.8301573653390818,0.045732164069756144,0.015196724717985832,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop2,balanced_accuracy,query,solar_orthogonal,128,solar_none,128,0.83813974858959561,0.029456466463885517,0.8322897929897739,0.023550055387063215,0.0058499555998217101,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop3,balanced_accuracy,query,solar_orthogonal,128,solar_none,128,0.82693075404252492,0.041614664775116605,0.83702475892298334,0.03051481121277284,-0.010094004880458418,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,10X,batchASW,joint,solar_orthogonal,128,solar_none,128,0.84874880668052233,0.0017215041834766215,0.86428325783724136,0.0036136781898331543,-0.015534451156719031,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Oetjen_A,batchASW,joint,solar_orthogonal,128,solar_none,128,0.84885033835748658,0.0027064063506771563,0.86279727532450001,0.0025509202302409755,-0.013946936967013435,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Villani,batchASW,joint,solar_orthogonal,128,solar_none,128,0.83665504132682966,0.0037689374121660977,0.85169897757531099,0.0026824333760402095,-0.015043936248481327,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,3,batchASW,joint,solar_orthogonal,128,solar_none,128,0.81600404455666165,0.0040381855441317741,0.84184719539115616,0.0024967158884481176,-0.02584315083449451,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,4,batchASW,joint,solar_orthogonal,128,solar_none,128,0.81762118874926648,0.003460527914333151,0.84548201408356383,0.003999502766113743,-0.027860825334297346,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,B1,batchASW,joint,solar_orthogonal,128,solar_none,128,0.82218294783330204,0.0054731803108620924,0.84953020625277453,0.0016544197172110311,-0.027347258419472498,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,fluidigmc1,batchASW,joint,solar_orthogonal,128,solar_none,128,0.8695482039510033,0.0032576990227491829,0.8791236893031027,0.0060122084145841047,-0.0095754853520993999,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop2,batchASW,joint,solar_orthogonal,128,solar_none,128,0.86027232738527482,0.0012219527249072726,0.8683487591762965,0.0031192585188990147,-0.0080764317910216876,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop3,batchASW,joint,solar_orthogonal,128,solar_none,128,0.85927875520092645,0.0015399655194214227,0.86804901168503235,0.0034518261598348826,-0.0087702564841058983,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,10X,cLISI,joint,solar_orthogonal,128,solar_none,128,0.99999999999999967,1.2412670766236366e-16,0.99999999999999967,1.2412670766236366e-16,0,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Oetjen_A,cLISI,joint,solar_orthogonal,128,solar_none,128,0.99999999999999978,0,0.99999999999999978,0,0,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Villani,cLISI,joint,solar_orthogonal,128,solar_none,128,0.99999999999999978,0,0.99999999999999978,0,0,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,3,cLISI,joint,solar_orthogonal,128,solar_none,128,0.99999999999999978,0,0.99999999999999978,1.1102230246251565e-16,0,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,4,cLISI,joint,solar_orthogonal,128,solar_none,128,0.99999999999999967,1.2412670766236366e-16,0.99999999999999967,1.2412670766236366e-16,0,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,B1,cLISI,joint,solar_orthogonal,128,solar_none,128,0.99999999999999967,1.2412670766236366e-16,0.99999999999999978,0,-1.1102230246251565e-16,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,fluidigmc1,cLISI,joint,solar_orthogonal,128,solar_none,128,1,0,1,0,0,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop2,cLISI,joint,solar_orthogonal,128,solar_none,128,1,0,1,1.1102230246251565e-16,0,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop3,cLISI,joint,solar_orthogonal,128,solar_none,128,0.99999999999999978,1.1102230246251565e-16,0.99999999999999978,1.5700924586837752e-16,0,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,10X,cell_cycle_conservation,joint,solar_orthogonal,128,solar_none,128,0.57650368855878176,0.006383124509677633,0.66017123772081487,0.0071149015594706337,-0.083667549162033117,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Oetjen_A,cell_cycle_conservation,joint,solar_orthogonal,128,solar_none,128,0.55460602588682484,0.0056828983680119001,0.63061539856150839,0.012276131823665583,-0.076009372674683551,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Villani,cell_cycle_conservation,joint,solar_orthogonal,128,solar_none,128,0.58849927021595971,0.0088309067660274389,0.64831046653623836,0.015557612874568244,-0.059811196320278648,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,3,cell_cycle_conservation,joint,solar_orthogonal,128,solar_none,128,0.72536451462831208,0.008568073031407086,0.7385033385968176,0.010169554231344939,-0.01313882396850552,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,4,cell_cycle_conservation,joint,solar_orthogonal,128,solar_none,128,0.73491084669197826,0.0096000899366125211,0.74148340180589301,0.009138631992545625,-0.0065725551139147464,5,5,5,5,True,computed,
