comparison,table,metric,population,lhs_mean,rhs_mean,difference,n_datasets_expected,n_datasets_valid,dataset_coverage,included_datasets,valid_datasets,status,n_batches_total,n_batches_expected,n_batches_valid,batch_coverage,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,n_lhs_seeds_paired,n_rhs_seeds_paired,valid_batches,reason,excluded_dataset
repeated_minus_none128,E3,NMI_cluster/label,joint,0.73742269741565469,0.7324013117693815,0.0050213856462731727,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,NMI_cluster/label,joint,0.77348209295080772,0.77133663422625576,0.0021454587245519812,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,PCR_batch,joint,0.79700796230304749,0.76743303213247738,0.029574930170570168,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,PCR_batch,joint,0.82311461338623804,0.81843356823204949,0.0046810451541885456,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,PCR_batch,joint,0.6942900875464677,0.65833659570651615,0.035953491839951578,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,balanced_accuracy,query,0.85561627513885929,0.85359776712855684,0.0020185080103024924,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,balanced_accuracy,query,0.81947397174066849,0.81436458495742836,0.005109386783240244,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,balanced_accuracy,query,0.83828204931646511,0.834805046335372,0.0034770029810930283,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,batchASW,joint,0.84081791127940586,0.8587301459819876,-0.017912234702581891,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,batchASW,joint,0.85389224548367393,0.86571682848358067,-0.011824582999906796,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,batchASW,joint,0.83167706125067808,0.85260648774409109,-0.020929426493413023,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,cLISI,joint,0.99999999999999978,0.99999999999999978,-1.8503717077085941e-17,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
